,id,question,answer_A,answer_B,answer_C,answer_D,answer_E
24,24,"Regarding carpal tunnel syndrome, what is(are) the true statement(s)?",It is most often idiopathic,It is more common during pregnancy,Electromyogram is essential for diagnosis,It may lead to a deficit of the flexor pollicis longus,It may lead to an abolition of the stylo-radial reflex
25,25,"Concerning knee osteoarthritis, what is(are) the true answer(s)?",Joint puncture is essential for diagnosis,A genu varum predisposes to medial femorotibial knee osteoarthritis,Viscosupplementation infiltrations are indicated in flare-ups with effusion,The surgical indication depends on the extent of joint narrowing,The effectiveness of corticosteroid infiltrations is limited in time
26,26,"A 78-year-old former mechanic came to consult for severe inflammatory febrile back pain that had appeared 10 days ago. you suspect spondylodiscitis and you decide to prescribe a lumbar MRI. This patient has a total hip prosthesis installed 8 years ago and a valve prosthesis 2 years ago. he benefited from the placement of a coronary stent 3 months ago. it has a glomerular filtration rate of 48 ml/min. during interrogation, he tells you that he received metal shards in his right eye and right cheek 40 years ago. Which proposition(s) contraindicate(s) injected MRI?",Metal shards in the eye,The hip prosthesis,The valve prosthesis,The coronary stent,Kidney function
27,27,"In case of paralysis of the oculomotor nerve (iii), you may encounter on examination?",A lack of elevation of the eye,a myosis,An eye adduction defect,An exophthalmos,Un ptosis
28,28,"A 62-year-old patient has a history of essential hypertension treated with monotherapy for 2 years and active smoking (45 pack-years). for about two weeks, he has been complaining of daily headaches which usually appear during the second half of the night. At the beginning, they gradually faded during the morning. For about 3 days, they have been constant. These headaches are described as diffuse in the head, are fluctuating in intensity, and are accentuated by physical activity. he also complains of inappetence and nausea which are also progressive. the patient is afebrile. What syndrome do you evoke in front of this table?",Migraine status,Chronic daily headaches,Meningeal syndrome of infectious origin,Intracranial hypertension,Meningeal syndrome linked to subarachnoid hemorrhage
29,29,"A 59-year-old patient saw a tremor appear in the last three fingers of his right hand, which those around him also noticed when walking. he swings his right upper limb less when walking. On examination, you notice that the tremor disappears with outstretched arms. you perceive that passive mobilization of the right elbow is more difficult and that mobilization of the right shoulder is painful. osteotendinous reflexes are normal. This type of tremor is probably aggravated by:",The emotion,I mentally calculate them,Writing,The movement,Sleep
30,30,Which of the following applies to a central neurological bladder?,The,Detrusor hypoactivity,Incontinence,Risk of ureterovesical reflux,Low intravesical pressures
31,31,Which of the following foods contain more than 5% carbohydrates?,Lenses,Green beans,Meat,Cheese,Fruits
32,32,Which of the following biological signs points you towards iatrogenic adrenal insufficiency in a 38-year-old patient with a history of Crohn's disease treated for 5 years with 10 mg/day of prednisone?,Sodium at 128 mmol/l,Potassium at 5.8 mmol/l,Fasting blood sugar at 3 mmol/l,Plasma acth at 8 hours at 585 pg/ml (n: 10 – 20),Urinary free cortisol at 25 µg/24 hours (n: < 90)
33,33,You see in consultation a 15-day-old newborn who presents with an isolated fever of 38.2°C and a general condition that has not changed,You reassure parents about the benign nature of this fever during periods of viral epidemics,The flu test is not informative at this age,The urine dipstick is not informative at this age,Carrying out a cytobacteriological examination of urine is systematic,Performing a lumbar puncture is systematic
34,34,"Faced with a lesion of the tongue, what is(are) the clinical sign(s) which will point towards a malignant origin?",Indurated lesion,Painful lesion,Bleeding on contact when palpating the lesion,Submucosal induration,Presence of associated leukoplakia
35,35,You intervene at the home of an infant found deceased by his parents a few minutes ago:,You ask to be accompanied by the police,You should not sign the death certificate before admission to the hospital,You write a report to the public prosecutor,You suggest that the parents carry out an autopsy to find the causes of death,The transfer of the body must be done to a forensic institute
36,36,You explain to young parents whose child has a first febrile episode the measure(s) to take during this episode.,Medicinal treatment is required for any temperature above 39°C,Drinking water is necessary every hour as long as the fever persists.,Cool wraps should be used if the child is uncomfortable,The use of ibuprofen is only possible after 3 months,The child must be kept out of communities for the duration of the fever.
37,37,"Concerning cervical swelling, what is(are) the correct item(s)?",A thyroglossal tract cyst is mobile when swallowing,Right supraclavicular lymphadenopathy may indicate genitourinary cancer,A renitent superficial swelling located at the anterior edge of the sternocleidomastoid muscle is suggestive of an amygdaloid cyst,A brachial plexus schwannoma is a differential diagnosis of submandibular lymphadenopathy,An accessory nerve schwannoma is a differential diagnosis of spinal lymphadenopathy
38,38,"Regarding peritonsillar phlegmon, what are the correct item(s)?",The abscess is located in the lateropharyngeal space,There may be trismus,The anterior pillar of the soft palate is widened,"In adults, hospitalization is systematic",Drainage of the abscess is done either by puncture or incision under general anesthesia
39,39,"Regarding benign paroxysmal positional vertigo, what is the correct item(s)?",It lasts less than a minute,It is caused by vestibular ischemia,It is treated with vestibular physiotherapy.,It is associated with tinnitus,There is a positional triggering factor
40,40,"A 32-year-old patient consults the emergency room for asthenia. there are no other abnormalities on clinical examination. Biological examinations show an increase in transaminases with asat=1362 iu (n<40), alat=2348 iu (n<40). what is(are) the possible cause(s) of this increase in transaminases?",Acute viral hepatitis,Acute alcoholic hepatitis,Drug-induced hepatitis,Autoimmune hepatitis,Hepatitis linked to cannabis use
41,41,"A 62-year-old patient presents with progressive onset hyponatremia. he appears euvolemic clinically. his biological blood test is as follows: na 125 mmol/l, k 4 mmol/l, chlorine 110 mmol/l, hco3- 25 mmol/l, blood sugar 5 mmol/l, proteins 67 g/l, urea 4 mmol/l, serum creatinine 78 µmol/l. Urine assessment: na 100 mmol/l, k 25 mmol/l, urea 350 mmol/l, creatinine 8 mmol/l. what is (are) the (are) possible cause(s) of this biological picture? (one or more correct answers)?",Tea and toast syndrome,Taking furosemide,Syndrome of inappropriate adh secretion,Taking amlodipine,Lithium intake
42,42,"An 86-year-old patient is hospitalized for hematemesis. he is known to have viral hepatitis b, which has not been monitored. His family describes bloody vomit equivalent in volume to that of a basin. On examination, he presents ascites and asterixis. systolic blood pressure is 55 mmhg. Which of the following is(are) associated with a poor prognosis?",Age,Hematemesis volume,Blood pressure,Presence of hepatic encephalopathy,Presence of ascites
43,43,"A 62-year-old patient presents the following biological assessment: na 142 mmol/l, k 5.7 mmol/l, chlorine 110 mmol/l, hco3- 18mmol/l, proteins 88 g/l, urea 20 mmol/l, serum creatinine 170 µmol/l. what drug(s) can give this biological picture? (one or more correct answers)",Ibuprofen,Candesartan,Amiloride,Amlodipine,Prednisone
44,44,You take care of a 67-year-old female patient in the emergency room whose reason for admission is pain in the right calf. The questioning and clinical examination reveal a progressive cancer during treatment and localized sensitivity along the deep venous network. RIGHT. the rest of the examination is unremarkable. you use a simplified clinical prediction model for deep vein thrombosis (dVT) which indicates a probability of dvt of 17%. you request a venous duplex of the lower limbs to confirm this suspicion of dvt. among Which of the following statements is (are) correct?,The post-test probability of DVT depends on the sensitivity of the venous Doppler ultrasound.,The pre-test probability of pVT depends on the specificity of the venous duplex scan.,The post-test probability of pVT depends on the likelihood ratio of venous duplex ultrasound.,The post-test probability of DVT depends on the intrinsic performance of venous Doppler ultrasound.,The post-test probability of TVP can be determined graphically using the Fagan nomogram.
45,45,A 43-year-old patient consulted for moderate hyperferritinemia twice the normal level discovered during a systematic assessment carried out by occupational medicine. he is asymptomatic. what element(s) will direct(s) towards metabolic hepatosiderosis?,High transferrin saturation coefficient,Overweight,Hypertriglyceridemia,Graves' disease,History of colon cancer
46,46,"In the event of sigmoid diverticulitis, an injected abdominal-pelvic CT examination is performed. it can show (one or more correct answers):",Images of addition containing air at the anti-mesenteric edge of the colon,Thinning of the colonic wall,Fat infiltration around a diverticulum,Thickening of the colonic wall,Pylephlebitis
47,47,In what situation(s) does a patient benefit from an exemption from user fees (based on social security rates)?,Care of minor children of any nature,"Care, whatever it may be, for subjects receiving state medical aid (ame)","Care, whatever it may be, for pregnant women from the 4th month of pregnancy",Performing a mammogram on a 54-year-old woman as part of the national breast cancer screening program,"Additional examinations, outside of usual care, carried out as part of participation in a randomized trial"
48,48,"A 48-year-old patient has been experiencing headaches for several weeks leading to the diagnosis of high blood pressure. the average of his outpatient blood pressures is 177/92 mmhg. his biological assessment is as follows: na 142 mmol/l, k 3.4 mmol/l, serum creatinine 70 µmol/l, serum calcium 2.5 mmol/l. 24-hour diuresis: 1400 ml. urine ionogram: na=180 mmol/l, k=50 mmol/l, proteinuria <0.01g/l. In view of this assessment, what is (are) the cause (s) that you should mention for this high blood pressure?",Renal artery stenosis,Syndrome the Gitelman,Primary hyperaldosteronism,Chronic consumption of licorice,Phéochromocytome
49,49,"Which tumor marker is of interest in the screening, diagnosis, prognosis and monitoring of the cancer of which it is specific? (1 answer)",Ace,Psa,Alpha fp,Hcg,Ca125
50,50,"Within the framework of the law of February 2, 2016 known as the “Claeys-Leonetti” law, when a patient can no longer express himself, a treatment which appears useless, disproportionate or when it has no other effect than the sole artificial maintenance of life, may be suspended following a collegial procedure defined by regulation. what is (are) the element (s) provided for in this procedure?",Consultation of advance directives if they exist,The opinion of at least one consulting physician,A discussion with the members of the care team present,Information from the on-call director if this procedure takes place on the weekend,The decision must be entered in the medical file
51,51,What means(s) is used to assess the qualitative dimension of pain?,dn4 questionnaire,doloplus questionnaire,algoplus scale,Visual analog scale,Numerical scale
52,52,By what therapeutic means(s) can neuropathic pain be treated as first intention?,A tricyclic antidepressant,An antiepileptic drug from the gabapentinoid class,Morphine,Transcutaneous electrical stimulation,Spinal cord stimulation
53,53,A 55-year-old patient is treated in a palliative care unit for terminal development of respiratory failure complicating major emphysema. His main complaint is an increase in his dyspnea. how to manage this dyspnea? (one or more correct answer(s)),Symptom assessment using a visual analog scale,Adaptation of the flow rate of oxygen therapy so that arterial oxygen saturation is greater than 95%,Introduction or increase of opioid treatment,Comfortable patient installation,Deep and continuous sedation from the outset until death
54,54,Obesity surgery such as a longitudinal gastrectomy may be offered (one or more correct answers):,In adolescents from 15 years old if the BMI is greater than 40 kg/m2,"In a 55-year-old subject, fitted for sleep apnea, with a BMI ≥ 35 kg/m2",In case of serious eating disorders,If the subject has understood and accepted lifelong post-operative medical and surgical follow-up,If the patient has received clear and complete information on the surgical risks
55,55,"A 52-year-old patient with no particular history presents high blood pressure, proteinuria of 2 g/24 hours, hematuria of 105 red blood cells/ml with serum creatinine of 130 µmol/l. his vesico-renal ultrasound is normal. here is the report of his kidney biopsy: cortical fragment comprising 15 glomeruli including 4 sclerotic glomeruli. Permeable glomeruli exhibit mesangial and endocapillary proliferation. lesions of moderate arteriolosclerosis. lesions of tubular atrophy and interstitial fibrosis on approximately 20% of the parenchyma. immunofluorescence finds deposits of Iga to +++ in the mesangium and of c3 to 1+ in the vessels and glomeruli. what is(are) the possible diagnosis(es)?",Tubulointerstitial nephropathy,Lupus nephropathy class IV,Pauci-immune glomerulonephritis,Iga nephropathy,Nephroangiosclerosis
56,56,What elements point you towards the occupational origin of allergic contact eczema in a plastics worker working in the manufacture of pleasure boats (one or more possible answers)?,Symptoms that improve during the holidays,A location of the lesions on the back of the hands and wrists,The presence of several simultaneous cases in the same workshop,A history of atopy in childhood,The presence of lesions on the eyelids
57,57,"As a young general practitioner, you receive for the first time a 52-year-old patient who complains of insomnia, anxious ruminations, loss of vitality and disinvestment in family and professional life. he indicates that his symptoms appeared 6 months ago, following the arrival of a new team leader who constantly made remarks to him about his slowness at work and his lack of intellectual abilities. he even reports insults uttered against him on several occasions, when he was alone with his boss. This patient has no notable medical history, apart from depression reactive to a divorce 10 years ago. patient asks you to make a declaration of occupational illness. What should you indicate on the initial medical certificate?",The existence of a depressive syndrome,The date you first noticed the pathology,History of depressive syndrome,The existence of harassment by a colleague,The name of the department head
58,58,"A 12-year-old patient is admitted to the pediatric emergency room for meningeal syndrome. he is placed in an examination room by a caregiver and the nurse comes to take his temperature and blood pressure. the intern then comes to examine the child and suspects an invasive meningococcal infection, which will be confirmed by analysis of the CSF (meningococcus c). the nurse, aged 30, comes to see the intern telling him that she is worried because she is pregnant and she asks her the question of what she should do because she took care of the child without a mask, and is not vaccinated against meningococcus. what measure(s) should be taken by her proposed?",Vaccination with the meningococcal c conjugate vaccine,Prophylaxis with oral rifampicin for 5 days,Prophylaxis with rifampicin orally for 2 days,Reassure her and tell her that there is no risk of contamination,Prophylaxis with ceftriaxone injection
59,59,What hygiene measures should be taken when entering the room for the treatment of a patient with pulmonary tuberculosis?,Wearing a long-sleeved jacket,Wearing a respiratory protection mask (type ffp2),Wearing a charlotte,Wearing overshoes,Hand friction with a hydroalcoholic solution
60,60,What vaccinations are compulsory for a nurse working in a hospital in a healthcare department (one or more answers possible)?,Pneumococcus vaccination,"Vaccination against diphtheria, tetanus and poliomyelitis",Hepatitis A vaccination,Whooping cough vaccination,Hepatitis B vaccination
61,61,"Concerning acute peritonitis, what proposal(s) do you retain?",Abdominal CT is the reference morphological examination for diagnosis,Surgical treatment must include washing of the peritoneal cavity,"The 3 most common causes are appendicitis, peptic ulcer, colonic diverticulum",The progressive risk of peritonitis is septic shock,Peritonitis is always linked to digestive perforation
62,62,"Regarding acute intestinal obstruction, what is (are) the correct information?",A functional occlusion may be caused by a hydroelectrolyte disorder,A peritoneal flange can lead to occlusion by strangulation,Strangulation obstruction threatens the vitality of the intestine within hours,Abdominal CT with contrast product injection is the gold standard examination.,Colon cancer is the leading cause of colonic obstruction due to obstruction
63,63,Regarding occlusive syndrome: (one or more correct answers),The cessation of materials is a physical sign absent in 30% of cases,Abdominal pain is always the initial symptom,The location of abdominal pain indicates the location of the obstacle,Repeated and frequent vomiting temporarily relieves abdominal pain in small bowel obstructions,The cessation of gas is the essential functional sign for diagnosis
64,64,"Mr. m, aged 58, is referred to you for abnormalities in his iron assessment. In his history, we only note diabetes diagnosed 3 months ago. On clinical examination, the temperature is 37.3°C. you note hepatomegaly estimated at 5 cm under the costaldroit awning. his iron assessment is presented below: transferrin saturation coefficient (cst) at 62%, ferritin at 1200 ng/ml (normal 30 to 300 mg/ ml).among the following propositions, which (or which) of the following causes could explain the iron balance abnormalities presented in this clinical context?",Inflammatory syndrome,Dysmetabolic hepatosiderosis,Genetic hemochromatosis,Myelodysplasia,Syndrome d’activation macrophagique
65,65,When admitting a polytrauma patient in severe hemorrhagic shock (one or more correct answers):,A bodyscan is essential and must be carried out urgently,A fast echo performed at the patient's bedside is sufficient to confirm hemoperitoneum,Emergency laparotomy is indicated to confirm the abdominal origin of hemorrhagic shock.,"In cases of massive hemoperitoneum, the “damage control” technique is the reference technique.",The “damage control” technique aims to control bleeding and at the same time treat digestive lesions
66,66,"M. m., aged 22, consults urgently due to asthenia associated with a fever of 39°C that has been going on for 72 hours. he complains of odynophagia and diffuse myalgia. On clinical examination, you find cervical lymphadenopathy and splenomegaly across a finger. A blood test was carried out in town and shows the following results: hemoglobin 13.2 g/dl, vgm 89 fl, platelets 120 g/l, leukocytes 10.6 g/l, neutrophils 1.6 g/l, basophils 0.1 g/l, eosinophils 0.4 g/l, lymphocytes 8 g /l, monocytes 0.5 g/l. blood smear: presence of numerous large lymphocytes with hyper-basophilic cytoplasm. Among the following additional examinations, which one (or which ones) do you think should be carried out as first intention in this clinical context?",Myelogram,Lymphocyte immunophenotyping,p24 antigenemia,Mni test,Cytomegalovirus (cmv) serology
67,67,"A patient presents with claudication for a distance estimated at 400 meters and which results in pain in the right calf. On clinical examination you note: the absence of edema of the lower limbs the presence of all peripheral pulses at the level in the left lower limb the popliteal pulse is however ample and very easy to palpate while on the right only the femoral pulse is felt there is neither sensory disturbance nor motor disturbance in the lower limbs.  you finally find a left iliac murmur, what arterial lesion(s) should you suspect?",Left iliac obliteration,Left iliac stenosis,Left popliteal aneurysm,Right iliac obliteration,Right femoral obliteration
68,68,"Regarding the murmur in mitral regurgitation, what is (are) the correct proposition(s)?",It is ejection mesosystolic,It is most often in a steam jet,It may be associated with a mesodiastolic turnover,It is most often of apexo-axillary location.,It radiates to the carotids
69,69,"In a clinical trial, the random allocation (randomization) of the treatment evaluated is intended to:",Form comparable groups based on potential confounding factors,Conclude a difference with a statistical significance threshold of 5%,Mitigating Sampling Fluctuations,Keep subjects unaware of the treatment allocated for the entire study period,Reduce the number of topics needed
70,70,Measures of association that can be estimated in a cross-sectional etiological epidemiological study include:,The incidence rate,L'odds ratio,The mortality rate,The prevalence,The etiological fraction
71,71,"In the following list of bacterial infections, which one(s) is(are) not usually associated with leukocytosis?",Gram-negative liver abscess,Acute pyelonephritis,Typhoid fever,Pneumococcal lung infection,Tuberculosis
72,72,"Among the following parasitoses, which one(s) are transmitted by skin contact (walking barefoot, swimming) with water or damp soil?",Amoebae,Teniosis,Hydatidose (échinococcose),Strongyloidose (anguillulose),Schistosomiasis (bilharziasis)
73,73,the medical certificate describing injuries secondary to violence: (one or more correct answers),Must mention the psychological impact of the violence on the victim,Can be handed over directly to a judicial police officer if the total incapacity for work is more than eight days,Can be given directly to a third party provided that they provide proof of their link with the victim,Is given to the holder of parental authority if the victim is a minor,Allows medically to establish the credibility of the victim's words
74,74,"In the absence of a statistically significant difference in the primary endpoint between the two groups of a prospective randomized controlled trial against placebo, it is necessary to mention:",The risk of statistical error of the second kind (beta),The lack of effect of the treatment,A lack of statistical power,The non-inferiority of the treatment evaluated,The risk of statistical error of the first type (alpha)
75,75,"The association at autopsy of a recent, bilateral and multi-focal subdural hematoma and bilateral retinal hemorrhages in a 6-month-old baby with no particular history suggests the diagnosis of: (one or more correct answers)",Sudden infant death,Shaken baby syndrome,Syndrome de silverman,Rupture of cerebral arteriovenous malformation,Accidental head trauma
76,76,"The administrative part of the death certificate, electronically or on paper, is transmitted: (one or more correct answers)",At the town hall of the place of death,At the National Institute of Health and Medical Research (INSERM),To the manager of the funeral home mandated by the family,To the public prosecutor,To the family of the deceased
77,77,Congenital long QT syndrome is a hereditary rhythm disorder of autosomal dominant transmission which predisposes to sudden death in childhood and which can be the subject of preventive treatment. this pathology is very heterogeneous on the genetic level. what is(are) the correct proposition(s):,The genes involved encode ion channels,Long QT syndrome is most often associated with a congenital heart defect,The genetic evaluation of this pathology is done by the study of the karyotype,The diagnosis in an index case must lead to information for relatives,Molecular predictive diagnosis is not authorized in minor children in this situation
78,78,The drafting of a descriptive medical certificate requires the evaluation of the itt in the criminal sense of the term. what is the meaning of this acronym?,Total incapacity for work,Temporary total incapacity,Temporary total incapacity,The inability to work completely,Temporary total incapacity
79,79,"You are seeing a pregnant woman for a morphological ultrasound at 22 weeks of amenorrhea. his couple has no family history. fetal growth is normal. she benefited from a combined screening in the first trimester with a risk of Down syndrome calculated at 1/10,000. the only particularity is fetal intestinal hyperechogenicity. what is(are) the correct proposition(s):",This is a warning sign of cystic fibrosis.,This is a warning sign of a viral infection.,This sign is frequently encountered in fetuses heterozygous for a severe mutation in the cftr gene.,We propose as a priority a search for heterozygosity in both parents,Priority is given to amniocentesis to look for mutations in the cftr gene in the fetus.
80,80,The objectives of the medico-legal treatment of a victim of sexual violence are: (one or more correct answers),Describe traumatic bodily injuries,Determine whether the person consented at the time of the incident,Determining whether the victim's statements are credible,Establish multidisciplinary care,Take samples for genetic fingerprinting
