question,answer_A,answer_B,answer_C,answer_D,answer_E,correct_answers,subject_name
"Parmi les propositions suivantes concernant la qualité d'une séparation en HPLC entre deux constituants d'un mélange, laquelle est exacte? La qualité de la séparation est appréciée par:",Le facteur de réponse,La hauteur des pics,La largeur des pics,Le facteur de résolution,Le facteur de capacité,D,pharmacie
"Parmi ces cinq propositions, indiquer le mode habituel de contamination de l'homme dans la bilharziose urinaire:",Transmission vénérienne,Piqûre d'insecte hématophage,Ingestion de larves avec l'eau de boisson,Pénétration trans-cutanée,Morsure par un animal infecté,D,pharmacie
"Parmi les propositions suivantes, indiquez la proposition exacte. Les moutardes à l'azote sont:",Des antimétabolites,Non toxiques sur les cellules hématopoïétiques,Des poisons du fuseau,Des alkylants,Des intercalants,D,pharmacie
"En photométrie de flamme, la qualité de nébulisation est indépendante:",De la densité de la solution à analyser,De la température de la flamme,De la tension superficielle de la solution à analyser,De la vitesse des gaz (combustible et comburant),De la viscosité de la solution à analyser,B,pharmacie
"Parmi les propositions suivantes, une seule est fausse. Laquelle? la bromocriptine :",Est indiquée en endocrinologie,Est indiquée dans le traitement de la maladie de Parkinson,Induit des troubles digestifs en début de traitement,A des propriétés anticholinergiques,Est un agoniste dopaminergique,D,pharmacie
Quelle est la proposition inexacte concernant les modifications des activités enzymatiques provoquées par le benzène?,Inhibition de l'ALA synthétase,Inhibition des peroxydases érythrocytaires,Induction des catalases érythrocytaires,Inhibition des monoxygénases Cytochrome P 450 dépendantes qui participent au métabolisme du benzène,Diminution des phosphatases alcalines leucocytaires,D,pharmacie
Le syndrome de « cytolyse» hépatique est caractérisé par:,Une augmentation de la concentration sérique de l'alanine-amino transférase,Une diminution de la concentration plasmatique des protéines,Une diminution de la concentration du fer sérique,Une augmentation de la concentration plasmatique de la phosphatase alcaline,Une augmentation de la concentration plasmatique des immunoglobulines A,A,pharmacie
Le prurit anal est le symptôme majeur de:,L'anguillulose,L'ankylostomose,L'oxyurose,La bilharziose,Le teniasis,C,pharmacie
"Parmi les propositions suivantes, une seule est fausse, indiquez laquelle. Les sels biliaires :",Sont amphipathiques,Sont synthétisés à partir du cholestérol,Sont synthétisés par l'hépatocyte,Subissent un cycle entérohépatique,Sont indispensables à l'absorption intestinale de constituants hydrosolubles,E,pharmacie
"Indiquer, parmi les caractères suivants, celui qui est commun à toutes les anémies arégénératives :",Taux d'hémoglobine inférieur à 80 g/L,Réticulocytopénie,Macrocytose,Sidérémie normale,Myélogramme de densité cellulaire faible,B,pharmacie
"Parmi les bactéries suivantes, laquelle est un agent habituel de méningite néonatale?",Clostridium tetani,Salmonella sérovar Typhimurium,Streptococcus agalactiae .,Haemophilus influenzae,Vibrio cholerae,C,pharmacie
"Parmi les propositions suivantes, quelle est celle qui s'applique à Mycobacterium tuberculosis ?",On peut l'isoler sur gélose enrichie au sang de cheval,Il se développe en 72 heures sur milieu gélosé adapté,Il n'est pas responsable de méningites,Il peut être responsable d'infections urinaires,II n'est jamais sensible aux aminosides,D,pharmacie
Parmi les propositions suivantes concernant l'imipramine. laquelle est inexacte?,C'est un antidépresseur tricyclique,Elle inhibe la recapture neuronale de la noradrénaline et de la sérotonine,Ses effets cliniques se manifestent en 24 à 48h,Sa demi-vie plasmatique est de 9 à 20 h,Elle présente des propriétés anticholinergiques muscariniques,C,pharmacie
"Parmi les propositions suivantes concernant les diurétiques, une seule est fausse. Laquelle?",Les diurétiques de l'anse sont en général des dérivés sulfamidés,L'hydrochlorothiazide (ESIDREX) inhibe la réabsorption du sodium au niveau du segment cortical de dilution,Le furosémide (LASILlX) est indiqué dans le traitement de l'oedème aigu du poumon,L'amiloride (MODAMIDE) est contre-indiqué en cas d'hyperkaliémie,La spironolactone (ALDACTONE) est souvent associée aux inhibiteurs de l'enzyme de conversion de l'angiotensine,E,pharmacie
"Parmi les anti-ulcéreux suivant, quel est celui qui possède, aux concentrations thérapeutiques, des propriétés inhibitrices des cytochromes P450 ?",Nizatidine,Ranitidine,Cimétidine,Famotidine,Sucralfate,C,pharmacie
"Parmi les paramètres suivants, citer celui qui constitue un marqueur de l'ostéogénèse :",Glycosides d'hydroxylysine urinaires,Pyridinoline urinaire,Ostéocalcine,Hydroxyproline,Calciurie,C,pharmacie
Dans l'organisme quel est le milieu où les cyclines ne diffusent pas?,Plèvre,Articulations,Poumons,LCR,Os,D,pharmacie
"Parmi les propositions, une seule est fausse. Laquelle? Un carbure de formule brute CnH2n:",Peut être un carbure monocyclique saturé,Peut être un mono-ethylénique,Peut être un acétylénique,Peut être un carbure ramifié,Peut-être optiquement actif,C,pharmacie
"Parmi les éléments suivants, quel est celui qui n'entre pas dans l'uréogenèse ?",CO2,NH3,Valine,ATP,Ornithine,C,pharmacie
"Parmi les propositions suivantes, indiquer celle qui exacte. L'indication habituelle du fluconazole (TRIFLUCAN®) est:",L'amibiase intestinale aiguë,Les helminthiases intestinales,Les teignes du cuir chevelu,Les infections à levures,Les infections profondes à Aspergillus,D,pharmacie
"Dans une des conditions suivantes, l'antigène est tolérogène, laquelle?",Administration par voie intra-musculaire,Administration par voie intra-veineuse,Administration en présence d'adjuvant,Antigène de nature protéique,Antigène sous forme particulaire,B,pharmacie
"Parmi les symptômes suivants, indiquer celui qui n'est pas observé lors d'une intoxication aiguë par le monoxyde de carbone",Céphalées,Coma,Vertiges,Cyanose,"Nausées, Vomissements",D,pharmacie
"Une gamma glutamyltransférase sérique élevée, associée à un volume globulaire moyen augmenté est évocatrice de :",Cholestase,Pancréatite,Hépatite virale débutante,Insuffisance hépatique aiguë,Intoxication alcoolique chronique,E,pharmacie
"Parmi les propositions suivantes concernant le virus de l'immunodéficience humaine, laquelle est exacte?",Ce sont des virus à ADN,Ils peuvent être cultivés sur milieu de Löwenstein-Jensen,Ce sont des virus nus,Ce sont des virus ayant un génome fragmenté en huit fragments,Ils possèdent une enzyme capable de transcrire l'ARN en ADN,E,pharmacie
"Le catharomètre est un détecteur utilisé chromatographie en phase gazeuse. Parmi les propositions suivantes, laquelle est fausse?",Son fonctionnement repose sur la variation de la conductibilité thermique,Sa sensibilité est de l'ordre du micro gramme,Il est non spécifique,Il est non destructif,Son fonctionnement repose sur l'ionisation des molécules,E,pharmacie
Parmi les propositions suivantes une seule est exacte. Laquelle? Une solution jaune absorbe dans une zone du spectre se situant:,Autour de 250 nm,Autour de 300 nm,Autour de 400 nm,Autour de 500 nm,Autour de 650 nm,C,pharmacie
"Parmi les neurotransmetteurs ou neuromodulateurs proposés, lequel intervient dans le mécanisme d'action des benzodiazépines?",La dopamine,Le GABA,L'acétylcholine,L'histamine,L'acide glutamique,B,pharmacie
"Parmi les propositions suivantes concernant l'amibiase, une seule est fausse. Laquelle?",Elle est due à Entamoeba dispar,Elle se contracte par ingestion de kystes,Elle se manifeste souvent par des troubles intestinaux,Elle peut présenter des complications hépatiques,Elle peut présenter des complications pulmonaires,A,pharmacie
"Parmi les mécanismes de l'action antibactérienne des fluoroquinolones, citez celui qui est exact",Inhibition de la biosynthèse des membranes,Inhibition de la réplication de l'ADN,Modification du mouvenment des ions calcium de la cellule,Intercalation dans l'ADN,Inhibition des métalloprotéines enzymatiques,B,pharmacie
"Parmi les propositions suivantes, une seule est fausse. Indiquez laquelle? La rifampicine:",Est un alcaloïde,Possède un noyau naphtohydroquinone,Comporte dans sa structure un macrocycle lactonique,Est colorée en rouge,Est obtenue à partir d'une substance d'origine fongique,A,pharmacie
"Parmi les propositions suivantes, une seule est fausse. Indiquez laquelle? L'haptoglobine plasmatique:",Est une glycoprotéine,Fait partie du groupe des alpha2 globulines,Augmente dans les syndromes inflammatoires,Se combine avec l'hémoglobine pour donner des complexes,Augmente dans les insuffisances hépatocellulaires,E,pharmacie
"Parmi les propositions suivantes, une seule est exacte. Laquelle? Les inhibiteurs de l'enzyme de conversion de l'angiotensine I :",Diminuent la post-charge,Diminuent le taux de rénine plasmatique,Diminuent le taux de bradykinine,Majorent le risque de survenue d'hypokaliémie,Sont déconseillés chez l'insuffisant cardiaque,A,pharmacie
"Parmi les propriétés bactériologiques et pharmacocinétiques suivantes, laquelle n'est pas une caractéristique des aminosides?",Forte liaison aux protéines plasmatiques,Effet post-antibiotique,Effet bactéricide concentration dépendant,Saturation de leur distribution tissulaire au niveau rénal,Existence de phénomènes de résistance par inactivation enzymatique,A,pharmacie
"Parmi les propositions suivantes concernant les antidotes et les antagonistes, une seule est fausse. Laquelle?",La vitamine B6 est utilisée lors de l'intoxication par l'isoniazide,Le bleu de méthylène réduit le fer ferrique de la méthémoglobine,L'atropine corrige les effets des parasympathomimétiques,Le méthylsulfate de pralidoxime est un réactiveur des cholinestérases,Les folates sont utilisés lors de l'intoxication par l'éthylène glycol,E,pharmacie
"Quelle méthode peut être utilisée pour déterminer la constante d'acidité (7,1 et 10,6) de l'acide valproïque (acide dipropylacétique) ?",La potentiométrie,La complexométrie,La spectrophotométrie UV -Visible,La polarographie,La chromatographie en phase gazeuse,A,pharmacie
"Parmi les propositions suivantes, une seule est exacte. Au cours de la leucémie lymphoïde chronique, le myélogramme montre:",Une population de lymphocytes>30%,Une population de lymphoblastes >30%,Une augmentation de la lignée granuleuse,Une augmentation de la lignée érythroblastique,La présence de bâtonnets d'Auer dans les blastes,A,pharmacie
"Parmi les enzymes suivantes, une seule n'intervient pas dans la cétogenèse. Laquelle?",Pyruvate kinase,HydroxyméthylglutarylCoA lyase,Acéto-acétylCoA thiolase,Hydroxybutyrate déshydrogénase,HydroxyméthylglutarylCoA synthétase,A,pharmacie
"Parmi les propositions concernant la lithiase biliaire, une seule est fausse. Laquelle?",Elle est caractérisée par la présence de calculs dans les canalicules biliaires,Elle est plus fréquente chez le sujet âgé que chez le sujet jeune,Elle peut être associée à une hypercholestérolémie,Elle évolue vers une cirrhose,L'existence de facteurs génétiques n'est pas démontrée,D,pharmacie
"Parmi les propositions suivantes à propos de la vancomycine, laquelle est inexacte?",C'est une béta-lactammine,Elle peut-être associée avec les aminosides,Elle n'est pas absorbée par voie digestive,Elle agit sur la synthèse du peptidoglycane,Elle a un spectre antibactérien essentiellement Gram positif,A,pharmacie
"L'effet tyramine à l'origine de crises hypertensives graves est rencontré fréquemment avec une classe de médicaments, laquelle?",Les antidépresseurs tricycliques,Les inhibiteurs de la mono amine oxydase,Les benzodiazépines,Les cyclopyrrolones,Les butyropnénones,B,pharmacie
"Parmi les propositions suivantes, une seule est fausse. Laquelle? Une hyperkaliurie est généralement observée au cours:",D'une insuffisance rénale fonctionnelle,D'un hyperaldostéronisme primaire,Du traitement par certains diurétiques,Des grandes insuffisances cortico-surrénaliennes,D'une acidose métabolique,E,pharmacie
"Parmi les propositions suivantes, une seule est exacte. Laquelle? Le traitement d'une intoxication aiguë par le méthanol consiste à administrer:",Du butanol,De l'éthylène glycol,Du dimercaprol,De l'éthanol,Du pralidoxime,D,pharmacie
"Parmi les propositions suivantes, une seule est exacte. Laquelle? La potasse éthanolique 0,lN permet de doser:",Le phénobarbital,La morphine,Le cholestérol,Le phénobarbital sodique,Le chlorure de sodium,A,pharmacie
"Parmi les substances suivantes, une seule ne traverse pas la barrière placentaire. Laquelle?",Dicoumarine,Glucose,Héparine,Tétracycline,Amplicilline,C,pharmacie
"Parmi les propositions suivantes, une seule est fausse. Indiquer laquelle? Les enzymes suivantes interviennent dans la digestion des lipides alimentaires:",Lipase gastrique,Lipase pancréatique,Lipoprotéine lipase,Phospholipase A2,Cholestérol estérase,C,pharmacie
"Parmi les affirmations suivantes concernant le virus de l'hépatite B,une seule est fausse.Laquelle ?",Il s'agit d'un virus à ARN,Il appartient à la famille des Hepadnaviridae,Il possède une enveloppe lipoprotéique,II comporte une capside,Il peut être transmis par voie sanguine,A,pharmacie
Sur laquelle de ses méthodes repose le diagnostic parasitologique directe de l'ankylostomose ?,L'examen d'un frottis sanguin,L'examen d'un culot urinaire,La biopsie rectale,La recherche d' oeufs dans les selles,La recherche d'anticorps spécifiques du sang,D,pharmacie
Que se passe-t-il pendant la systole ventriculaire?,Le remplissage ventriculaire,Le remplissage auriculaire,La contraction ventriculaire,La contraction auriculaire,La diastole générale,C,pharmacie
"Parmi les propositions suivantes, une seule est exacte. Laquelle? L'aldostérone est secrétée par:",La zone glomérulée de la cortico-surrénale,La zone réticulée de la cortico-surrénale,La macula densa du rein,La post-hypophyse,L'ante-hypophyse,A,pharmacie
"Parmi les propositions suivantes, une seule est fausse. Laquelle? L'AMPHOTERICINE B :",Est un antifongique de la famille des polyènes,Agit spécifiquement sur les dermatophytes,N'est pas absorbée par la muqueuse digestive,Peut être administrée par voie parentérale,Est néphrotoxique après perfusion au long cours,B,pharmacie
Le taeniasis à Taenia saginata se contracte:,Par ingestion de viande de porc,Par ingestion de viande de mouton,Par ingestion de viande de boeuf,Par contact avec des anneaux d'un sujet parasité,Par ingestion de légumes souillés par des embryophores,C,pharmacie
"L'identification d'une levure impliquée dans une pathologie humaine nécessite la réalisation de tous ces tests, sauf un. Lequel?",Isolement en milieu Sabouraud,Examen microscopique,Test de filamentation sur sérum,Inoculation à l'animal,Assimilation des sources carbonées,D,pharmacie
"Parmi les propositions suivantes, une seule est exacte. Laquelle? Le segment du tubule rénal strictement imperméable à l'eau est:",Le tube proximal,La branche descendante de l'anse de Henlé,La branche ascendante de l'anse de Henlé,Le tube distal,Le tube collecteur,C,pharmacie
"Quel est le médicament qui, associé à un aminoside, expose à un risque cytotoxique?",Alphaméthyldopa,Furosémide,Sel de quinidine,Cimétidine,Captopril,B,pharmacie
Cocher la (les) proposition(s) exacte(s) : Le métronidazole :,Est un dérivé du pyrazole,Peut induire un effet antabuse,Peut être administré par voie parentérale intraveineuse,Peut être utilisé dans certaines parasitoses à protozoaires,Est inefficace dans les infections à germes anaérobies,"B, C, D",pharmacie
"Concernant l'intoxication aiguë par l'amitriptyline, quelle(s) est (sont la (les) proposition(s) exacte(s) ?",Un syndrome sérotoninergique est observé,Un syndrome anticholinergique est observé,Des convulsions peuvent être observées,Le pronostic dépend des troubles cardiovasculaires,La dose toxique est supérieure à 5 grammes chez l'adulte,"A, B, C, D",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s) ? Le catabolisme des acides gras saturés:",Se déroule au niveau cytoplasmique,S'accompagne de la biosynthèse d'ATP,Nécessite l'intervention de deshydrognase à NADP,Nécessite l'intervention de substrat activés par le coenzyme A,Donne naissance à des métabolites alpha-bêta insaturés de la forme trans,"B, D, E",pharmacie
"Parmi les propositions suivantes concerrnant Listeria monocytogenes, quelle(s) est (sont) la (les) réponse(s) exacte(s) ?",Elle peut être responsable d'avortements,L'infection qu'elle provoque peut être traitée par le céfotaxime,Elle produit une toxine neurotrope,Elle peut croître à des températures voisines de + 4°C,Elle peut être responsable de méningo-encéphalites,"A, D, E",pharmacie
"Parmi les marqueurs suivants, indiquer celui (ceux) qui reflète(nt) l'activité ostéoblastique.",Ostéocalcine (sérique),Pyridinolines (urinaires),Phosphatase acide résistant à l'acide tartrique (sérique),Glycosides d'hydroxylysine (urinaires),Phosphatase alcaline osseuse (sérique),"A, E",pharmacie
Parmi les symptômes suivants. lequel (lesquels) est (sont) couramment observé(s) en cas d'intoxication aiguë par l'éthylène glycol ?,Insuffisance rénale,Troubles neurologiques,Troubles acido-basiques,Troubles cardiovasculaires,Troubles de l'audition,"A, B, C, D",pharmacie
"Parmi les affirmations suivantes, quelle(s) est (sont) celle(s) qui est (sont) exacte(s) ? Un détecteur à barette de diodes est un détecteur:",Spectrophotométrique utilisant une lumière monochromatique,Spectrophotométrique utilisant une lumière polychromatique,Réfractométrique,Utilisable en chromatographie en phase gazeuse,Utilisable en chromatographie en phase liquide,"B, E",pharmacie
Parmi les propositions suivantes. laquelle ou (lesquelles) est (sont) exacte(s) ? La chromatographie à polarité de phases inversée,Utilise une phase stationnaire polaire,Utilise une phase mobile hydro-organique,Peut être appliquée aux espèces ionisées,élue en premier les solutés les plus polaires,Utilise une phase stationnaire en silice vierge,"B, C, D",pharmacie
"Parmi les propositions suivantes, indiquer celle(s) qui est (sont) inexacte(s) : La trinitrine:",Est le trinitrate d'isosorbide,Est un médicament anti-angoreux,S'utilise par voie orale dans le traitement de la crise d'angor,Est méthémoglobinémiante à doses élevées,Augmente la tension artérielle,"A, C, E",pharmacie
"Parmi les propositions suivantes, indiquer celle (celles) qui est (sont) exacte(s) :Un syndrome mononucléosique est associé à :",Maladie de Kahler,Mononucléose infectieuse,Toxoplasmose,Infection à Shigella,Cytomégalovirus,"B, C, E",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s) ? Les récepteurs aux neurotransmetteurs peuvent être couplés:",A un canal ionique,A l'adénylcyclase,A une tyrosine kinase,A une phospholipase C,A un transporteur membranaire,"A, B, D",pharmacie
"Parmi les propositions suivantes, indiquer la (les) propositions exacte(s) ? Le méthotrexate est :",Un antifolate,Un analogue des folates,Un analogue de l'hypoxanthine,Un analogue des bases pyrimidiques,Un composé chiral,"A, B, E",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s) ? Les formes érythrocytaires de Plasmodium sont :",Sporozoïte,Cryptozoïte,Corps de rosace,Schizonte,Gamétocyte,"C, D, E",pharmacie
"Au cours de l'hypothyroïdie, on observe le ou les signe(s) suivant(s) :",Une baisse de la T4 libre,Une nervosité,Une hypothermie,Une prise de poids,Une hypercholestérolémie,"A, C, D, E",pharmacie
"Parmi les propositions suivantes concernant l'intoxication par le paracétamol, indiquer celle(s) qui est (sont) exacte(s) :",L'administration précoce de charbon activé diminue la biodisponibilité du paracétamol,"La N-acétylcystéine utilisée per os, en association avec du charbon activé perd son activité détoxifiante",La néphropathie tubulaire aiguë constitue un signe précoce d'intoxication,Un lavage gastrique précoce constitue un geste thérapeutique essentiel,La voie de métabolisation toxifiante utilise le cytochrome P450,"A, B, D, E",pharmacie
"Parmi les propositions suivantes concernant l'oxyurose, indiquer celle(s) qui est (sont) inexacte(s) :",Le syndrome de Löffler se manifeste tardivement au cours de l'oxyurose,La ponte des femelles d'oxyure a lieu 3 mois après le contage humain,Il peut y avoir une hyperéosinophilie modérée au cours de l'oxyurose,L'oxyure adulte peut être évacué par la bouche,Le flubendazole (FLUVERMAL®) est un médicament utilisé dans l'oxyurose,"A, B, D",pharmacie
"Dans l'insuffisance rénale chronique non traitée, on observe :",Une destruction progressive des néphrons,Une hypocalcémie,Une anémie,Une hypokaliémie,Une diminution de la clairance rénale de la créatinine,"A, B, C, E",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s) ?",La zopiclone est une benzodiazépine anxiolytique,L'oxazépam est un métabolite secondaire du diazépam,Le flunitrazépam est un anxiolytique très puissant,Les benzodiazépines donnent des effets indésirables extrapyramidaux,Certaines benzodiazépines peuvent être utilisées en anesthésiologie,"B, E",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s) ? Le dosage de l'acétate de sodium s'effectue :",En solution aqueuse,En solution dans l'acide acétique,En solution dans le diméthylformamide,A l'aide d'une solution aqueuse d'acide chlorhydrique,A l'aide d'une solution acétique d'acide perchlorique,"B, E",pharmacie
"Parmi les propositions suivantes concernant les complexes, indiquer quelle(s) est (sont) celle(s) qui sont exactes :",Un complexe peut être chargé positivement,La stabilité des complexes peut être fonction du pH,La dilution augmente la stabilité des complexes,"Plus la valeur de pKc est élevée, plus le complexe est stable",Un complexe de l'EDTA avec l'aluminium est un chélate,"A, B, D, E",pharmacie
"Parmi les propositions suivantes qui s'appliquent à la diffusion d'un soluté électriquement neutre dans un solvant, cocher la (les) réponse(s) exacte(s).",Le coefficient de diffusion s'exprime en m2.s-1,Le flux de diffusion a le même sens que le gradient de concentration,La diffusion diminue quand la température diminue,La diffusion augmente quand la viscosité du solvant augmente,La diffusion diminue quand la masse molaire du soluté diminue,"A, C",pharmacie
Cocher la (les) proposition(s) exacte(s) concernant l'osmolarité et l'osmolalité ?,L'osmolarité est le nombre d'osmoles par litre de solution,L'osmolalité est le nombre d'osmoles par kilogramme de solvant,"Dans le plasma, les protéines représentant environ 7% du volume total, l'osmolalité est égale à l'osmolarité divisé par 0.93",Osmolarité et osmolalité peuvent être confondues pour une solution aqueuse dilué,L'osmolarité plasmatique est mesurée par cryoscopie,"A, B, C, D, E",pharmacie
"Parmi les propositions suivantes, situer la (les) attitude(s) thérapeutique(s) indiquée(s) chez une jeune femme qui vient d'absorber 8 mg de digitoxine :",Surveillance de la kaliémie,Diurèse osmotique,Lavage gastrique,Perfusion enrichie en K+,Surveillance cardiaque,"A, C, E",pharmacie
"Parmi les propositions suivantes, quelle(s) est (sont) celle(s) qui représente(nt) un ou des facteur(s) de risque d'une atteinte coronaire ?",Tabagisme,Concentration plasmatique élevée d'apolipoprotéine B,Concentration plasmatique élevée d'HDL,Hypertension,Taux plasmatique élevé de Lp(a),"A, B, D, E",pharmacie
"Parmi les propositions concernant le cotrimoxazole, quelle(s) est (sont) celle(s) qui est (sont) exacte(s)?",Est une association de sulfaméthoxazole et de triméthoprime,Est indiqué dans le traitement de la toxoplasmose,Le triméthoprime est un inhibiteur de la dihydrofolate synthétase,Peut entraîner des troubles cutanés sévères type syndrome de Lyell,l'association avec le méthotrexate est contre-indiquée,"A, B, D, E",pharmacie
"Parmi les propositions suivantes concernant la ceftriaxone (ROCEPHINE®), quelle(s) est (sont) celle(s) qui est (sont) exacte(s) ?",C'est une céphalosporine de 3ème génération,Elle est habituellement efficace dans les infections à bacilles à Gram négatif,Son importante demi-vie d'élimination est compatible avec une seule administration quotidienne,Elle possède une mauvaise biodisponibilité par voie intramusculaire,Elle est utilisée en ambulatoire dans les infections sévères,"A, B, C, E",pharmacie
Parmi les propositions suivantes laquelle (lesquelles) est (sont) exacte(s)? Les macrolides :,Sont des antibiotiques qui peuvent être utilisés chez la femme enceinte,Sont des antibiotiques doués d'une bonne diffusion tissulaire,Agissent sur la réplication de l'ADN,Sont toujours actifs sur les entérocoques,Sont principalement éliminés par le foie,"A, B, E",pharmacie
"Parmi les médicaments cités ci-dessous, donner celui ou ceux que l'on utilise comme amoebicide(s) tissulaire(s):",Flubendazole (FLUVERMAL®),Métronidazole (FLAGYL®),Secnidazole (FLAGENTYL®),éconazole (PEVARYL®),Ornidazole (TIBéRAL),"B, C, E",pharmacie
"Parmi les propositions suivantes concernant l'intoxication par les salicylés, indiquer celle (celles) qui est (sont) exacte(s).",Les jeunes enfants sont plus sensibles que les adultes aux surdosages de salicylés,L'utilisation du charbon activé est déconseillée lors du lavage gastrique,L'administration intraveineuse de bicarbonate de sodium permet de corriger l'acidose métabolique,L'administration intraveineuse de bicarbonate de sodium augmente l'élimination urinaire des salicylés,L'hyperventilation est fréquente au début de l'intoxication,"A, C, D, E",pharmacie
Quelle(s) affirmation(s) est(sont) exacte(s) ? L'énergie d'activation d'une réaction enzymatique est:,L'énergie nécessaire pour activer l'enzyme concernée,L'énergie nécessaire pour activer le substrat,L'énergie libérée au cours de la réaction,L'énergie retenue dans les produits de réaction,L'énergie procurée par les produits de réaction,B,pharmacie
"Parmi les propositions suivantes, indiquer laquelle(lesquelles) est(sont) exacte(s), Les Ig D :",Sont responsables des phénomènes anaphylactiques,Ont des chaînes lourdes comportant 5 domaines,Sont monomériques,Sont principalement des immunoglobulines de membrane,Ont une masse moléculaire voisine de 160 à 190 kDa,"C, D, E",pharmacie
"Parmi les virus suivants, lesquels peuvent être transmis sexuellement ?",Virus herpès simplex type 2,Virus de la grippe,Virus de l'hépatite A (VHA),Virus de immunodéficience humaine (VIH),Virus de la poliomyélite,"A, D",pharmacie
"Parmi les propositions suivants, laquelle (lesquelles) est (sont) exacte(s)? L'angiotensine II:",Exerce un effet direct sur le muscle lisse vasculaire,Exerce une action directe sur des récepteurs de la sérotonine,Augmente la libération des catécholamines,Exerce une action stimulante sur la sécrétion de rénine,Module la sécrétion de l'aldostérone,"A, C, E",pharmacie
"Parmi les signes ou symptômes suivants, lequel (lesquels) fait (font) partie d'un syndrome néphrotique pur ?",Protéinurie,Hypertension artérielle,Diminution de l'albumine sérique,Diminution des protides totaux du sérum,Augmentation du pourcentage des alpha 2 globulines à l'électophorèse,"A, C, D, E",pharmacie
"Parmi les propositions suivantes concernant le seuil de signification d'un test statistique, laquelle (lesquelles) est (sont) exacte(s) ? Le seuil de signification :",Est le risque consenti de rejet à tort de l'hypothèse nulle,"A pour valeurs habituelles 0,95 ou 0,99",Est aussi appelé risque de 2ème espèce,Est habituellement noté alpha,Augmente si l'intervalle d'acceptation de l'hypothèse nulle est plus petit,"A, D, E",pharmacie
"Parmi les affirmations suivantes, indiquer la (les) affirmation(s) exacte(s). En spectroscopie de fluorescence.",Les molécules fluorescentes présentent le plus souvent des systèmes d'électrons délocalisés,Un ion métallique ne présente jamais de propriétés de fluorescence,Les groupements qui augmentent la délocalisation des électrons augmentent la fluorescence du composé,La rigidité d'une molécule augmente le rendement de fluorescence,Les dosages quantitatifs ne sont pas possibles,"A, C, D",pharmacie
