question,answer_A,answer_B,answer_C,answer_D,answer_E,correct_answers,subject_name
"In the body, what is the environment where cyclins do not diffuse?",Pleura,Articulations,Lungs,LCR,Os,D,pharmacy
"Among the propositions, only one is false. Which? A carbide with the chemical formula CnH2n:",May be a saturated monocyclic carbide,Can be a mono-ethylene,May be an acetylenic,May be a branched carbide,Possibly optically active,C,pharmacy
Which of the following is not involved in ureogenesis?,CO2,NH3,Valine,ATP,Ornithine,C,pharmacy
"Among the following statements, indicate which one is correct. The usual indication for fluconazole (TRIFLUCAN®) is:",Acute intestinal amoebiasis,Intestinal helminthiasis,Ringworms of the scalp,Yeast infections,Deep Aspergillus infections,D,pharmacy
"Under one of the following conditions, the antigen is tolerogenic, which one?",Intramuscular administration,Intravenous administration,Administration in the presence of adjuvant,Protein antigen,Antigen in particulate form,B,pharmacy
Which of the following symptoms is not observed in acute carbon monoxide poisoning?,Headache,Coma,Dizziness,Cyanosis,"Nausea, Vomiting",D,pharmacy
Elevated serum gamma glutamyltransferase associated with increased mean corpuscular volume is suggestive of:,Cholestasis,Pancreatitis,Early viral hepatitis,Acute liver failure,Chronic alcohol poisoning,E,pharmacy
Which of the following statements about the human immunodeficiency virus is correct?,They are DNA viruses,They can be grown on Löwenstein-Jensen medium,They are naked viruses,These are viruses having a genome fragmented into eight fragments,They have an enzyme capable of transcribing RNA into DNA,E,pharmacy
The catharometer is a detector used in gas chromatography. Which of the following statements is false?,Its operation is based on the variation of thermal conductivity,Its sensitivity is of the order of micrograms,It is non-specific,It is non-destructive,Its operation is based on the ionization of molecules,E,pharmacy
Of the following propositions only one is correct. Which? A yellow solution absorbs in an area of ​​the spectrum located:,Around 250 nm,Around 300 nm,Around 400 nm,Around 500 nm,Around 650 nm,C,pharmacy
"Among the proposed neurotransmitters or neuromodulators, which is involved in the mechanism of action of benzodiazepines?",Dopamine,Look ahead,Acetylcholine,L'histamine,Glutamic acid,B,pharmacy
"Of the following statements regarding amoebiasis, only one is false. Which?",It is due to Entamoeba dispar,It is contracted by ingestion of cysts,It often manifests itself by intestinal disorders,It may present with hepatic complications,She may present with pulmonary complications,A,pharmacy
"Among the mechanisms of antibacterial action of fluoroquinolones, cite the correct one",Inhibition of membrane biosynthesis,Inhibition of DNA replication,Change in the movement of calcium ions from the cell,Intercalation in DNA,Enzyme metalloproteinase inhibition,B,pharmacy
"Among the following propositions, only one is false. Indicate which one? Rifampicin:",Is an alkaloid,Has a naphthohydroquinone core,Includes in its structure a lactonic macrocycle,Is colored red,Is obtained from a substance of fungal origin,A,pharmacy
"Among the following propositions, only one is false. Indicate which one? Plasma haptoglobin:",Is a glycoprotein,Part of the alpha2 globulin group,Increases in inflammatory syndromes,Combines with hemoglobin to form complexes,Increases in hepatocellular insufficiency,E,pharmacy
"Of the following propositions, only one is correct. Which? Angiotensin I converting enzyme inhibitors:",Reduce afterload,Decrease plasma renin levels,Reduce bradykinin levels,Increase the risk of occurrence of hypokalemia,Are not recommended for people with heart failure,A,pharmacy
Which of the following bacteriological and pharmacokinetic properties is not a characteristic of aminoglycosides?,Strong binding to plasma proteins,Post-antibiotic effect,Bactericidal effect concentration dependent,Saturation of their tissue distribution at the renal level,Existence of resistance phenomena by enzymatic inactivation,A,pharmacy
"Of the following statements regarding antidotes and antagonists, only one is false. Which?",Vitamin B6 is used during isoniazid poisoning,Methylene blue reduces ferric iron from methemoglobin,Atropine corrects the effects of parasympathomimetics,Pralidoxime methyl sulfate is a cholinesterase reactivator,Folates are used in ethylene glycol poisoning,E,pharmacy
What method can be used to determine the acidity constant (7.1 and 10.6) of valproic acid (dipropylacetic acid)?,Potentiometry,Complexometry,UV-Visible spectrophotometry,Polarography,Gas chromatography,A,pharmacy
"Of the following propositions, only one is correct. During chronic lymphocytic leukemia, the myelogram shows:",A lymphocyte population >30%,A population of lymphoblasts >30%,An increase in granular lineage,An increase in the erythroblast lineage,The presence of Auer rods in blasts,A,pharmacy
"Among the following enzymes, only one is not involved in ketogenesis. Which?",Pyruvate kinase,HydroxyméthylglutarylCoA lyase,Aceto-acetylCoA thiolase,Hydroxybutyrate dehydrogenase,HydroxymethylglutarylCoA synthetase,A,pharmacy
"Among the propositions concerning cholelithiasis, only one is false. Which?",It is characterized by the presence of stones in the bile canaliculi,It is more common in the elderly than in the young.,It may be associated with hypercholesterolemia,It progresses towards cirrhosis,The existence of genetic factors has not been demonstrated,D,pharmacy
Which of the following statements about vancomycin is incorrect?,It's a beta-lactammin,It can be associated with aminoglycosides,It is not absorbed through the digestive tract,It acts on the synthesis of peptidoglycan,It has an essentially Gram-positive antibacterial spectrum.,A,pharmacy
The tyramine effect causing serious hypertensive crises is frequently encountered with which class of drugs?,Tricyclic antidepressants,Mono amine oxidase inhibitors,Benzodiazepines,Les cyclopyrrolones,Butyropnenones,B,pharmacy
"Among the following propositions, only one is false. Which? Hyperkaliuria is usually observed during:",Functional renal failure,Primary hyperaldosteronism,Treatment with certain diuretics,Major cortico-adrenal insufficiencies,Metabolic acidosis,E,pharmacy
"Of the following propositions, only one is correct. Which? Treatment of acute methanol poisoning consists of administering:",You butanol,Ethylene glycol,You dimercaprol,Ethanol,You pralidoxime,D,pharmacy
"Of the following propositions, only one is correct. Which? The 0.lN ethanolic potash allows you to dose:",Phenobarbital,Morphine,Cholesterol,Phenobarbital sodium,Sodium chloride,A,pharmacy
"Of the following substances, only one does not cross the placental barrier. Which?",Dicoumarine,Glucose,Heparin,Tetracycline,Amplicilline,C,pharmacy
"Among the following propositions, only one is false. Indicate which one? The following enzymes are involved in the digestion of dietary lipids:",Gastric lipase,Pancreatic lipase,Lipoprotein lipase,Phospholipase A2,Cholesterol esterase,C,pharmacy
Only one of the following statements about the hepatitis B virus is false. Which one?,It is an RNA virus,It belongs to the Hepadnaviridae family.,It has a lipoprotein envelope,It has a capsid,It can be transmitted through blood,A,pharmacy
On which of its methods is the direct parasitological diagnosis of hookworm based?,Examining a blood smear,Examination of a urinary pellet,Rectal biopsy,Checking for eggs in the stool,The search for specific blood antibodies,D,pharmacy
What happens during ventricular systole?,Ventricular filling,Ear filling,Ventricular contraction,Atrial contraction,General diastole,C,pharmacy
"Of the following propositions, only one is correct. Which? Aldosterone is secreted by:",The glomerular zone of the cortico-adrenal,The reticular area of ​​the cortico-adrenal,The dense macula of the kidney.,The posterior pituitary,The ante-hypophysis,A,pharmacy
"Among the following propositions, only one is false. Which? AMPHOTERICIN B:",Is an antifungal from the polyene family,Acts specifically on dermatophytes,Is not absorbed by the digestive mucosa,Can be administered parenterally,Is nephrotoxic after long-term infusion,B,pharmacy
Taeniasis in Taenia saginata is contracted by:,By ingestion of pork,By ingestion of sheep meat,By ingestion of beef,By contact with rings of a parasitized subject,By ingestion of vegetables contaminated by embryophores,C,pharmacy
"Identifying a yeast involved in a human pathology requires performing all of these tests, except one. Which?",Isolation in Sabouraud environment,Microscopic examination,Serum filamentation test,Animal inoculation,Assimilation of carbon sources,D,pharmacy
"Of the following propositions, only one is correct. Which? The segment of the renal tubule strictly impermeable to water is:",Le tube proximal,The descending branch of Henlé Cove,The ascending branch of Henlé Cove,The distal tube,The collecting tube,C,pharmacy
"What drug, when combined with an aminoglycoside, exposes you to a cytotoxic risk?",Alphamethyldopa,Furosemide,Quinidine salt,Cimetidine,Captopril,B,pharmacy
Check the correct proposition(s): Metronidazole:,Is a derivative of pyrazole,May induce an antabuse effect,Can be administered parenterally intravenously,Can be used in certain protozoan parasitoses,Is ineffective in anaerobic infections,"B, C, D",pharmacy
"Regarding acute amitriptyline poisoning, what is/are the correct proposition(s)?",Serotonin syndrome is observed,An anticholinergic syndrome is observed,Convulsions may be observed,Prognosis depends on cardiovascular disorders,The toxic dose is greater than 5 grams in adults,"A, B, C, D",pharmacy
Which of the following is/are correct? Catabolism of saturated fatty acids:,Occurs at the cytoplasmic level,Accompanied by ATP biosynthesis,Requires the intervention of NADP dehydrognase,Requires the intervention of substrates activated by coenzyme A,Gives rise to unsaturated alpha-beta metabolites of the trans form,"B, D, E",pharmacy
Which of the following regarding Listeria monocytogenes is(are) the correct answer(s)?,It can be responsible for abortions,The infection it causes can be treated with cefotaxime,It produces a neurotropic toxin,It can grow at temperatures around + 4°C,It can be responsible for meningoencephalitis,"A, D, E",pharmacy
"Among the following markers, indicate which one(s) reflect osteoblastic activity.",Osteocalcin (serum),Pyridinolines (urinary),Acid phosphatase resistant to tartaric acid (serum),Hydroxylysine glycosides (urinary),Bone alkaline phosphatase (serum),"A, E",pharmacy
Among the following symptoms. which one(s) is(are) commonly seen in acute ethylene glycol poisoning?,Renal failure,Neurological disorders,Acid-base disorders,Cardiovascular disorders,Hearing problems,"A, B, C, D",pharmacy
Which of the following statements is(are) true? A diode array detector is a detector:,Spectrophotometric using monochromatic light,Spectrophotometric using polychromatic light,Refractometric,Usable in gas chromatography,Usable in liquid chromatography,"B, E",pharmacy
Among the following proposals. which one(s) is(are) correct? Reverse phase chromatography,Uses a polar stationary phase,Uses a hydro-organic mobile phase,Can be applied to ionized species,elected first the most polar solutes,Uses a virgin silica stationary phase,"B, C, D",pharmacy
"Among the following statements, indicate which one(s) is(are) incorrect: Trinitrin:",Is isosorbide trinitrate,Is an anti-angina medication,Used orally in the treatment of angina attacks,Is methemoglobinemic at high doses,Increases blood pressure,"A, C, E",pharmacy
"Among the following statements, indicate which one(s) is (are) correct(s): A mononucleosis syndrome is associated with:",Kahler's disease,Infectious mononucleosis,Toxoplasmosis,Shigella infection,Cytomegalovirus,"B, C, E",pharmacy
Which of the following is/are correct? Neurotransmitter receptors can be coupled:,Has an ion channel,With adenyl cyclase,A une tyrosine kinase,A une phospholipase C,Has a membrane transporter,"A, B, D",pharmacy
Which of the following statements is correct? Methotrexate is:,An antifolate,A folate analogue,An analogue of hypoxanthine,An analogue of pyrimidine bases,A chiral compound,"A, B, E",pharmacy
Which of the following is/are correct? The erythrocyte forms of Plasmodium are:,Sporozoïte,Cryptozoïte,Rose body,Schizonte,Gamétocyte,"C, D, E",pharmacy
"During hypothyroidism, the following sign(s) are observed:",A drop in free T4,A nervousness,Hypothermia,Weight gain,Hypercholesterolemia,"A, C, D, E",pharmacy
"Among the following statements regarding paracetamol poisoning, indicate which one(s) is (are) correct:",Early administration of activated charcoal reduces the bioavailability of paracetamol,"N-acetylcysteine ​​used orally, in combination with activated charcoal, loses its detoxifying activity",Acute tubular nephropathy is an early sign of poisoning,Early gastric lavage constitutes an essential therapeutic procedure,The toxifying metabolism pathway uses cytochrome P450,"A, B, D, E",pharmacy
"Among the following statements regarding pinworm disease, indicate which one(s) is(are) incorrect:",Löffler syndrome manifests late in the course of pinworm disease,Pinworm females lay their eggs 3 months after human infection,There may be moderate hypereosinophilia during pinworm disease.,Adult pinworm can be passed out through the mouth,Flubendazole (FLUVERMAL®) is a medicine used in pinworm disease,"A, B, D",pharmacy
"In untreated chronic renal failure, we observe:",Progressive destruction of nephrons,Hypocalcemia,Anemia,Hypokalemia,Decreased renal clearance of creatinine,"A, B, C, E",pharmacy
Which of the following is/are correct?,Zopiclone is an anxiolytic benzodiazepine,Oxazepam is a secondary metabolite of diazepam,Flunitrazepam is a very powerful anxiolytic,Benzodiazepines cause extrapyramidal side effects,Some benzodiazepines can be used in anesthesiology,"B, E",pharmacy
Which of the following is/are correct? The dosage of sodium acetate is carried out:,In aqueous solution,In solution in acetic acid,In solution in dimethylformamide,Using an aqueous solution of hydrochloric acid,Using an acetic solution of perchloric acid,"B, E",pharmacy
Which of the following statements regarding complexes is (are) correct:,A complex can be positively charged,The stability of the complexes can be a function of pH,Dilution increases the stability of the complexes,"The higher the pKc value, the more stable the complex is",A complex of EDTA with aluminum is a chelate,"A, B, D, E",pharmacy
"Among the following statements that apply to the diffusion of an electrically neutral solute in a solvent, check the correct answer(s).",The diffusion coefficient is expressed in m2.s-1,The diffusion flow has the same direction as the concentration gradient,Diffusion decreases as temperature decreases,Diffusion increases as solvent viscosity increases,Diffusion decreases as the molar mass of the solute decreases,"A, C",pharmacy
Check the correct statement(s) regarding osmolarity and osmolality?,Osmolarity is the number of osmoles per liter of solution,Osmolality is the number of osmoles per kilogram of solvent,"In plasma, since proteins represent approximately 7% of the total volume, osmolality is equal to osmolarity divided by 0.93",Osmolarity and osmolality can be confused for a diluted aqueous solution,Plasma osmolarity is measured by cryoscopy,"A, B, C, D, E",pharmacy
"Among the following propositions, locate the therapeutic attitude(s) indicated in a young woman who has just taken 8 mg of digitoxin:",Blood potassium monitoring,Osmotic diuresis,Gastric washing,Infusion enriched with K+,Cardiac monitoring,"A, C, E",pharmacy
Which of the following propositions represents one or more risk factors for coronary artery disease?,Smoking,Elevated plasma apolipoprotein B concentration,High plasma HDL concentration,Hypertension,High plasma Lp(a) level,"A, B, D, E",pharmacy
Which of the following regarding cotrimoxazole is(are) correct?,Is a combination of sulfamethoxazole and trimethoprim,Is indicated in the treatment of toxoplasmosis,Trimethoprim is a dihydrofolate synthetase inhibitor,May cause severe skin disorders such as Lyell syndrome,the combination with methotrexate is contraindicated,"A, B, D, E",pharmacy
Which of the following statements regarding ceftriaxone (ROCEPHINE®) is(are) correct?,It is a 3rd generation cephalosporin,It is usually effective in Gram-negative bacilli infections.,Its long elimination half-life is compatible with a single daily administration.,It has poor bioavailability intramuscularly.,It is used on an outpatient basis in severe infections.,"A, B, C, E",pharmacy
Which of the following statements is (are) correct? Macrolides:,Are antibiotics that can be used in pregnant women,Are antibiotics with good tissue diffusion,Act on DNA replication,Are always active on enterococci,Are mainly eliminated by the liver,"A, B, E",pharmacy
"Among the medications listed below, give the one or ones used as tissue amoebicide(s):",Flubendazole (FLUVERMAL®),Métronidazole (FLAGYL®),Secnidazole (FLAGENTYL®),éconazole (PEVARYL®),Ornidazole (TIBéRAL),"B, C, E",pharmacy
"Among the following statements regarding salicylates poisoning, indicate which one(s) is(are) correct.",Young children are more sensitive than adults to salicylates overdoses,The use of activated charcoal is not recommended during gastric lavage,Intravenous administration of sodium bicarbonate helps correct metabolic acidosis,Intravenous administration of sodium bicarbonate increases urinary elimination of salicylates,Hyperventilation is common at the start of intoxication,"A, C, D, E",pharmacy
Which statement(s) is/are correct? The activation energy of an enzymatic reaction is:,The energy required to activate the enzyme in question,The energy required to activate the substrate,The energy released during the reaction,The energy retained in the reaction products,The energy provided by the reaction products,B,pharmacy
"Among the following statements, indicate which one(s) is(are) correct, Ig D:",Are responsible for anaphylactic phenomena,Have heavy chains with 5 domains,Are monomeric,Are mainly membrane immunoglobulins,Have a molecular mass close to 160 to 190 kDa,"C, D, E",pharmacy
Which of the following viruses can be transmitted sexually?,Herpes simplex virus type 2,Flu virus,Hepatitis A virus (HAV),Human immunodeficiency virus (HIV),Polio virus,"A, D",pharmacy
Which of the following is/are correct? Angiotensin II:,Has a direct effect on vascular smooth muscle,Has a direct action on serotonin receptors,Increases the release of catecholamines,Exerts a stimulating action on renin secretion,Modulates aldosterone secretion,"A, C, E",pharmacy
Which of the following signs or symptoms is part of pure nephrotic syndrome?,Proteinuria,High blood pressure,Decreased serum albumin,Decrease in total serum proteins,Increase in the percentage of alpha 2 globulins on electrophoresis,"A, C, D, E",pharmacy
Which of the following statements regarding the significance level of a statistical test is (are) correct? The significance threshold:,Is the accepted risk of wrongly rejecting the null hypothesis,A for usual values ​​0.95 or 0.99,Is also called type 2 risk,Is usually denoted alpha,Increases if the null hypothesis acceptance interval is smaller,"A, D, E",pharmacy
"Among the following statements, indicate the correct statement(s). In fluorescence spectroscopy.",Fluorescent molecules most often exhibit delocalized electron systems,A metal ion never exhibits fluorescence properties,Groups that increase electron delocalization increase the fluorescence of the compound,The rigidity of a molecule increases the fluorescence yield,Quantitative dosages are not possible,"A, C, D",pharmacy
Which of the following regarding the hepatitis B virus is(are) the correct answer(s)?,It can be responsible for nosocomial infections,It may be involved in chronic hepatitis,It's an RNA virus,It can be responsible for fulminant hepatitis,The vaccine used in France against this virus is a live attenuated vaccine.,"A, B, D",pharmacy
Indicate the correct answer(s). Class II histocompatibility molecules:,"Are encoded by genes present at the HLA-A, -B and -C loci",Are expressed on B lymphocytes and macrophage monocytes,Are formed of an alpha chain associated with beta-2 microglobulin,Have as ligand the CD4 molecule,Involved in antigen presentation,"B, D, E",pharmacy
Indicate the drug combination(s) not recommended with phenytoin:,Estroprogestatifs,Griseofulin,Sulfamethoxazole combined with trimethoprim,Cimetidine,Ampicillin,"A, C, D",pharmacy
Cite the exact proposition(s); hemophilia is a bleeding disease:,Whose clinical signs appear from birth,Which is linked to a decrease in coagulation factor,Sex-linked transmission,Which can be complicated by the appearance of circulating anticoagulant after the administration of replacement therapy,For which a prenatal diagnosis can be carried out,"C, D, E",pharmacy
Which of the following is(are) the biological abnormality(s) frequently found in CD?,Hyperleukocytosis,Serum hypervitaminemia B12,sao2 <92%,Collapse of leukocyte alkaline phosphatase,Moderate thrombocytosis,"A, B, E",pharmacy
What is(are) the correct proposition(s) regarding a Bence-Jones protein?,It is a heat-soluble urinary protein,It allows to exclude multiple myeloma of the bones,It is an immunoglobulin light chain,It is a protein whose level is increased during inflammatory states.,It can be revealed by immuno-electrophoresis,"A, C, E",pharmacy
"Among the following solid oral forms, indicate which one(s) release the active ingredient continuously:",Hydrophilic matrix,Insoluble film-coated tablet,Double core tablets,Tablets based on ion exchange resins,Lipophilic matrix,"A, B, D, E",pharmacy
Which of the following statements regarding Listeria monocytogenes is/are correct?,It is a Gram-positive bacillus,It's a flagellate bacteria,It is an agent of meningitis,It is never pathogenic for adults,It is naturally resistant to aminoglycosides,"A, B, C",pharmacy
"Therapeutic administration of British Anti Lewisite (BAL) or 2,3-dimercaptopropanol (DIMERCAPROL®) is recommended in the case of poisoning by salts of:",Arsenic,Aluminium,Mercure,Fer,Copper,"A, C",pharmacy
Which of the following fungi are dermatophytes?,Epidermophyton floccosum,Aspergillus fumigatum,Microspores dog,Trichophyton mentagrophytes,Candida albicans,"A, C, D",pharmacy
Which of the following is/are correct? The Hepatitis A virus:,Is a DNA virus,Belongs to the family Picornaviridae,May cause cirrhosis,Is transmitted by the fecal-oral route,Causes an infection that can be prevented by vaccination,"B, D, E",pharmacy
Which of the following statements regarding aspirin is/are correct?,Prolongation of bleeding time by taking aspirin only lasts for 6 hours,The anti-aggregating action on platelets is linked to an inhibition of glycoprotein II b-III a,Aspirin has proven its effectiveness in preventing relapses of myocardial infarction,Aspirin potentiates the anticoagulant action of vitamin K antagonists,The usual anti-platelet dose of aspirin is less than 500 mg/24 hours,"C, D, E",pharmacy
In which of the following diseases can anemia be observed?,Candidiasis,Malaria,Fasciolose,Anguillulose,Toxoplasmosis,"B, D",pharmacy
Give the correct proposition(s). Cholestasis syndrome is characterized by:,An increase in serum concentration of conjugated bilirubin,An increase in serum alkaline phosphatase activity,An increase in serum aspartate aminotransferase activity,Discolored stools,A decrease in fecal urobilinogen,"A, B, D, E",pharmacy
The general Social Security system is divided into several distinct branches of activity. Indicate the correct answers from the following:,“Unemployment” branch,“Family allowances” branch,“Supplementary pensions” branch,“Old age” branch,“Disease” branch,"B, D, E",pharmacy
"Among the following statements, indicate the correct statement(s). The pharmacokinetics of a drug administered at several doses is linear:",When the areas under the curve are constant,When elimination half-lives increase,When distribution volumes are constant,When the kinetics are of order 1,If the medicine is not metabolized,"C, D",pharmacy
"Among the following statements, indicate the correct statement(s). The phenomenon of enzyme induction:",Requires exposure time to the inducing agent,Is a saturable mechanism,Is irreversible upon cessation of exposure to the inducing agent,Results in a decrease in plasma half-life,Reduces hepatic biotransformation reactions,"A, B, D",pharmacy
"In the following statements, check the correct answer(s). The clinical and biological signs of Taenia saginata taeniasis are characterized by:",Hepatomegaly,Nausea and epigastric cramps,Moderate hypereosinophilia during the maturation phase of the worm,A disturbance in appetite,Anemia,"B, C, D",pharmacy
Which of the following statements regarding the PCR (Polymerase Chain Reaction) technique is (are) correct? This technique:,Uses two oligonucleotide primers,Uses a DNA-dependent DNA polymerase,Uses a DNA-dependent RNA polymerase,Uses deoxyribonucleotide triphosphates,Allows mRNA synthesis,"A, B, D",pharmacy
"Among the propositions concerning the physicochemical properties of EDTA, indicate the exact proposition(s). EDTA is:",Un agent complexant,A chelating agent,Un ligand polydentate,An acid,Un macrocycle,"A, B, C, D",pharmacy
Which of the following is/are correct? Tissue distribution of drugs,Is limited by poor digestive absorption,Is not influenced by organ irrigation,Determines the apparent volume of distribution,Is influenced by drug binding to plasma proteins,Depends on the physicochemical properties of the drug,"A, C, D, E",pharmacy
Which of the following findings is(are) observed in Cushing's syndrome?,Facial-trunk obesity,Weight gain,Hypoglycemia,Orthostatic hypotension,Reduced cortisoluria,"A, B",pharmacy
"A couple has two girls with blood type A, a boy with blood type B and a girl with type AB. Indicate the possible proposition(s) regarding the possible genotypes of the parents.",AB and AB,AO and BO,AO and AB,AB and BO,OO and AB,"A, B, C, D",pharmacy
Which of the following is/are correct for chronic lymphocytic leukemia (CLL)?,Mainly affects young children,Blood lymphocytes have a nucleolated nucleus,May be complicated by hemolytic anemia.,Chlorambucil (CHLORAMINOPHENE) is a treatment often prescribed,Often accompanied by a decrease in serum gamma globulins,"C, D, E",pharmacy
"Which of the following statements is (are) correct? In a linear pharmacokinetic model, the plasma elimination half-life of a drug is:",The time during which the plasma concentration decreases by half,Dependent on the dose administered,Inversely proportional to the elimination rate constant (Ke),All the more so as the plasma distribution volume of the drug is large.,Always proportional to the rate of binding to circulating proteins,"A, C, D",pharmacy
"If you have a history of gastric ulcer, what painkiller(s) can you use?",Ibuprofen,Dextropropoxyphène,Paracetamol,Diflunisal,Buprenorphine,"B, C, E",pharmacy
Which of the following statements regarding thiazide diuretics is(are) correct?,They are moderate sadiuretics,They inhibit tubular sodium reabsorption,They are poorly absorbed orally,They are hypouricemic,They are hypokalemic,"A, B, E",pharmacy
Which of these statements is (are) correct? Trinitrin:,Has a very short elimination half-life,Exhibits an intense hepatic first pass effect,Can be administered percutaneously,Is vasoconstrictive,May cause headaches,"A, B, C, E",pharmacy
Which of the following is/are correct? The effect of the first hepatic pass:,Results in loss of initial product,Is a saturable mechanism,Is always unfavorable to the pharmacological activity of a drug,Influences bioavailability,Covers all medications,"A, B, D",pharmacy
Check the antibiotic(s) whose use is authorized at the end of pregnancy:,Ampicillin,Cotrimoxazole,Tetracyclines,Erythromycin,Péfloxacine,"A, D",pharmacy
